PowerTotalSoldAvg,SpCC_Br,SpCC_Gr,m_dot
0,1800,1800,0
176072.2989,1697.69764,1776.521778,10
524013.6885,576.5593701,603.0448371,20
877840.3387,347.4532191,363.2633233,30
1163213.191,264.0699606,276.001348,40
1366587.512,225.8105498,235.9663189,50
1502757.69,205.9621661,215.1976851,60
1588209.295,195.2808014,204.0194149,70
1637274.803,189.6940127,198.1707493,80
1659654.63,187.3534985,195.7159294,90
1661471.798,187.2727798,195.6260646,100
1647212.134,189.0209634,197.4465614,110
1619530.96,192.4161999,200.985809,120
1578805.757,197.4566075,206.2472691,130
1526565.551,204.3215932,213.4130779,140
1462080.733,213.4018249,222.8942879,150
1387774.705,224.8246547,234.8253754,160
1302352.378,239.588071,250.2447469,170
1199526.906,260.3010848,271.871269,180
1086397.461,287.4361186,300.2111367,190
