W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
0,18761.53178,18761.53178,0,19418968.97,19418968.97,Inf,16.33744311,16.33744311,Inf,17.05214363,17.05214363,6000,7000,7,0,150.0161367,1.417293813,317256300.8,331135048,1
0,12904.75595,12904.75595,0,13596046.14,13596046.14,Inf,16.05081135,16.05081135,Inf,16.74248512,16.74248512,6000,7000,7,0,55.0573041,1.498212149,322066793.9,335945541.1,1
17.40597414,12966.30236,12983.70833,18326.11441,13665804.3,13684130.41,16453.51896,22.06449502,22.03494572,17210.83974,23.08007719,23.0491678,6000,7000,7,0.01,55.82123314,0.642466412,301529070.9,315407818.2,1
43.91008968,13009.50542,13053.41551,46233.92369,13714685.46,13760919.38,6525.535657,21.99839862,21.92448842,6825.721022,23.01036111,22.93305092,6000,7000,7,0.025,57.08516218,0.659932974,301701117.6,315579864.9,1
89.07274604,13070.15879,13159.23153,93793.13286,13782067.36,13875860.5,3219.156629,21.90780072,21.75971612,3367.12852,22.91481563,22.75992416,6000,7000,7,0.05,59.24252915,0.690130277,301934785.4,315813532.6,1
182.6579395,13151.29781,13333.95575,192338.1841,13873648.96,14065987.14,1571.873059,21.79175865,21.49377834,1644.031103,22.79212613,22.4804668,6000,7000,7,0.1,63.77998184,0.755239968,302331209.7,316209956.9,1
280.1331799,13222.47454,13502.60772,294930.5378,13954515.05,14249445.59,1026.333827,21.69170239,21.24273436,1073.391508,22.68627276,22.21671943,6000,7000,7,0.15,68.92482353,0.831532791,302697187.4,316575934.6,1
300.1523093,13229.04123,13529.19354,315991.6475,13962607.47,14278599.12,958.1460461,21.68406928,21.20419133,1002.067293,22.67806322,22.17618776,6000,7000,7,0.16,69.9798247,0.847319459,302766147.7,316644894.9,1
318.5288487,13236.00057,13554.52941,334651.9819,13421172.61,13755824.6,904.9082158,22.56355212,22.01462557,946.3803958,23.59764561,23.02356161,6000,7000,7,0.1691,70.97311775,0.862231096,302829327.9,316708075.1,1
319.0738997,10334.04057,10653.11447,348522.8028,11060401.79,11408924.59,872.2317998,27.48477654,26.64516442,912.0534331,28.73959056,27.86164605,6000,7000,7,0.185,71.00007329,0.859856709,303992671.6,317871418.8,1
338.8718888,10297.0891,10635.96099,356931.8771,10864380.24,11221312.11,851.7184914,27.981852,27.09179433,890.6019538,29.25930612,28.32861469,6000,7000,7,0.19,71.00007329,0.862903818,304005479.9,317884227.1,1
348.7117137,10233.60255,10582.31427,367108.2963,10797354.03,11164462.33,828.2126482,28.15909651,27.23317302,866.0182423,29.44448062,28.4762913,6000,7000,7,0.195,71.00007329,0.862911499,304043734.3,317922481.5,1
356.9637999,10150.53989,10507.50369,375761.5167,10714411.21,11090172.73,809.239871,28.38057969,27.41897793,846.1748594,29.67591426,28.67042347,6000,7000,7,0.2,71.00030503,0.859256813,304081201.3,317959948.5,1
432.5600031,9534.435609,9966.995612,455189.535,10059661.41,10514850.94,668.9976553,30.27146931,28.96101269,699.4876955,31.65111289,30.28093128,6000,7000,7,0.25,71.00030503,0.862914035,304520731.6,318399478.8,1
506.3791198,8898.81039,9405.18951,532837.7123,9389046.763,9921884.476,572.2719234,32.47699902,30.73287774,598.3187796,33.95518393,32.13167927,6000,7000,7,0.3,71.00034577,0.86291448,304928062.5,318806809.8,1
653.8410143,7627.557372,8281.398386,687943.5325,8047661.637,8735605.169,444.3760767,37.98689132,34.99536003,464.5503303,39.71146025,36.58411627,6000,7000,7,0.4,71.00041553,0.862915244,305705648,319584395.2,1
801.3739849,6356.302082,7157.676067,843120.9798,6706264.62,7549385.6,363.4896485,45.69842766,40.59479339,379.950806,47.76794744,42.43318766,6000,7000,7,0.5,71.00047928,0.862915941,306465748.6,320344495.9,1
948.9870421,5085.042594,6034.029636,998385.9934,5365016.581,6363402.574,307.721612,57.26449167,48.27997973,321.6227959,59.85138904,50.46100586,6000,7000,7,0.6,71.00049661,0.862916131,307224947.3,321103694.5,1
1096.662028,3813.784481,4910.446508,1153694.111,4023634.291,5177328.402,266.9603344,76.54536755,59.48831941,278.9901672,79.99467388,62.16899681,6000,7000,7,0.7,71.00055966,0.862916821,307990565.7,321869312.9,1
1244.38359,2542.524557,3786.908148,1309107.678,2682615.341,3991723.019,235.8590344,115.098452,77.351277,246.4607194,120.2720402,80.82815833,6000,7000,7,0.8,71.00061824,0.862917462,308764873,322643620.2,1
1392.140613,1271.262719,2663.403332,1464501.154,1341268.153,2805769.307,211.364352,230.7840806,110.3238733,220.8411266,241.131562,115.2703766,6000,7000,7,0.9,71.00065112,0.862917821,309543337.5,323422084.8,1
1539.925093,0,1539.925093,1619892.426,0,1619892.426,191.4090729,Inf,191.4090729,199.9767698,Inf,199.9767698,6000,7000,7,1,71.00066269,0.862917948,310062107.6,323940854.8,1
