T_in_C,T_ambient_C,dT_approach,dT_pinch,eta_pump,eta_turbine,coolingMode,q_preheater,q_boiler,w_turbine,q_recuperator,q_desuperheater,q_condenser,w_pump,w_cooler,w_condenser,w_net,dT_range_CT,dT_LMTD_preheater,dT_LMTD_boiler,dT_LMTD_recuperator,T_out_C
30,15,7,5,0.9,0.8,Wet,-707.3151768,-15285.10332,-277.742096,0,124.3810338,15592.75787,2.462498041,2.195654406,418.8194894,145.7355458,1.718131521,7.923660244,2.782069987,,33.82610977
31,15,7,5,0.9,0.8,Wet,-657.3780777,-13189.60628,-257.6657268,0,115.8437601,13475.77939,2.304519533,2.041047408,361.9577173,108.6375574,1.851410891,8.108529374,3.164132665,,34.31296722
32,15,7,5,0.9,0.8,Wet,-592.8356813,-11096.666,-231.9468453,0,104.6879345,11354.95958,2.092676793,1.841053474,304.9927674,76.97965239,1.985426149,8.290206368,3.506539313,,34.7968743
33,15,7,5,0.9,0.8,Wet,-513.3805857,-9003.213555,-200.4967725,0,90.84353282,9227.078596,1.824760668,1.594675741,247.8381553,50.76081918,2.119976022,8.468546536,3.822257017,,35.27703684
34,15,7,5,0.9,0.8,Wet,-420.1017985,-6925.438238,-163.7688426,0,74.48961378,7108.785203,1.503622866,1.30525514,190.9410647,29.98110007,2.256105647,8.645210822,4.116014241,,35.75760193
35,15,7,5,0.9,0.8,Wet,-310.2448698,-4826.644522,-120.7254696,0,55.12028042,4962.161724,1.118081613,0.964179905,133.2830316,14.63982353,2.391430613,8.816869557,4.397298058,,36.22914233
36,15,7,5,0.9,0.8,Wet,-185.7121302,-2734.266781,-72.13574543,0,33.06004109,2815.457032,0.673906574,0.577313856,75.6228171,4.7382921,2.527723853,8.986220918,4.665230483,,36.69868896
37,15,7,5,0.9,0.8,Wet,-46.68474107,-652.0599862,-18.10081517,0,8.326961804,672.4875335,0.170583204,0.145167834,18.06292946,0.277865323,2.665231532,9.153695705,4.921575872,,37.16719454
38,15,7,5,0.9,0.8,Wet,108.1254926,1436.396132,41.8472871,0,-19.3229684,-1483.749182,-0.397813179,-0.336318997,-39.85331396,1.259840968,2.802872651,9.317877239,5.169944078,,37.63043209
39,15,7,5,0.9,0.8,Wet,278.8142703,3531.099391,107.714285,0,-49.92070474,-3653.311537,-1.032865379,-0.867500718,-98.12748236,7.686436546,2.94063664,9.478866977,5.4114606,,38.08838906
40,15,7,5,0.9,0.8,Wet,464.8648088,5623.607391,179.2684826,0,-83.38763186,-5827.550021,-1.733935839,-1.446827957,-156.527251,19.56046781,3.07907394,9.637510886,5.646079861,,38.54321855
41,15,7,5,0.9,0.8,Wet,665.7659787,7705.515648,256.2798979,0,-119.6460527,-7997.856122,-2.500446226,-2.072770613,-214.8213963,36.88528476,3.218740755,9.794621701,5.87367714,,38.99706268
42,15,7,5,0.9,0.8,Wet,883.3862029,9801.158273,339.4415496,0,-159.0422685,-10189.40117,-3.340514538,-2.751197395,-273.6860171,59.66382066,3.358009639,9.948106828,6.097523831,,39.44366072
