Series ID,Year,Period,Label,Value,Years,Average PPI
PCU332996332996,2003,M01,2003 Jan,155.1,2003,155.925
PCU332996332996,2003,M02,2003 Feb,155.2,2004,187.475
PCU332996332996,2003,M03,2003 Mar,156.3,2005,206.0833333
PCU332996332996,2003,M04,2003 Apr,156.8,2006,217.2916667
PCU332996332996,2003,M05,2003 May,157.8,2007,214.3583333
PCU332996332996,2003,M06,2003 Jun,156,2008,230.5583333
PCU332996332996,2003,M07,2003 Jul,155.2,2009,242.525
PCU332996332996,2003,M08,2003 Aug,155.5,2010,268.6583333
PCU332996332996,2003,M09,2003 Sep,156.2,2011,286.1083333
PCU332996332996,2003,M10,2003 Oct,155.8,2012,297.225
PCU332996332996,2003,M11,2003 Nov,154.7,2013,300.4916667
PCU332996332996,2003,M12,2003 Dec,156.5,2014,305.3583333
PCU332996332996,2004,M01,2004 Jan,159.1,2015,305.5583333
PCU332996332996,2004,M02,2004 Feb,165.7,2016,302.6666667
PCU332996332996,2004,M03,2004 Mar,175.7,2017,305.0833333
PCU332996332996,2004,M04,2004 Apr,184.8,2018,317.3416667
PCU332996332996,2004,M05,2004 May,189,2019,321.6083333
PCU332996332996,2004,M06,2004 Jun,193.1,2020,320.7166667
PCU332996332996,2004,M07,2004 Jul,193.7,2021,377.4175
PCU332996332996,2004,M08,2004 Aug,195.9,2022,434.0875
PCU332996332996,2004,M09,2004 Sep,196.1,,
PCU332996332996,2004,M10,2004 Oct,199.1,,
PCU332996332996,2004,M11,2004 Nov,198.8,,
PCU332996332996,2004,M12,2004 Dec,198.7,,
PCU332996332996,2005,M01,2005 Jan,202.7,,
PCU332996332996,2005,M02,2005 Feb,202.8,,
PCU332996332996,2005,M03,2005 Mar,204.8,,
PCU332996332996,2005,M04,2005 Apr,205.6,,
PCU332996332996,2005,M05,2005 May,206.4,,
PCU332996332996,2005,M06,2005 Jun,206.4,,
PCU332996332996,2005,M07,2005 Jul,205.9,,
PCU332996332996,2005,M08,2005 Aug,205.1,,
PCU332996332996,2005,M09,2005 Sep,204.9,,
PCU332996332996,2005,M10,2005 Oct,205.9,,
PCU332996332996,2005,M11,2005 Nov,210.1,,
PCU332996332996,2005,M12,2005 Dec,212.4,,
PCU332996332996,2006,M01,2006 Jan,213.4,,
PCU332996332996,2006,M02,2006 Feb,212.6,,
PCU332996332996,2006,M03,2006 Mar,213.1,,
PCU332996332996,2006,M04,2006 Apr,211.5,,
PCU332996332996,2006,M05,2006 May,213.6,,
PCU332996332996,2006,M06,2006 Jun,215.6,,
PCU332996332996,2006,M07,2006 Jul,219,,
PCU332996332996,2006,M08,2006 Aug,224.9,,
PCU332996332996,2006,M09,2006 Sep,224.9,,
PCU332996332996,2006,M10,2006 Oct,224.9,,
PCU332996332996,2006,M11,2006 Nov,220.5,,
PCU332996332996,2006,M12,2006 Dec,213.5,,
PCU332996332996,2007,M01,2007 Jan,217.2,,
PCU332996332996,2007,M02,2007 Feb,213.9,,
PCU332996332996,2007,M03,2007 Mar,214.2,,
PCU332996332996,2007,M04,2007 Apr,214.9,,
PCU332996332996,2007,M05,2007 May,217.1,,
PCU332996332996,2007,M06,2007 Jun,217,,
PCU332996332996,2007,M07,2007 Jul,211.7,,
PCU332996332996,2007,M08,2007 Aug,212.6,,
PCU332996332996,2007,M09,2007 Sep,212.9,,
PCU332996332996,2007,M10,2007 Oct,212.9,,
PCU332996332996,2007,M11,2007 Nov,214.3,,
PCU332996332996,2007,M12,2007 Dec,213.6,,
PCU332996332996,2008,M01,2008 Jan,213.8,,
PCU332996332996,2008,M02,2008 Feb,215.8,,
PCU332996332996,2008,M03,2008 Mar,218.7,,
PCU332996332996,2008,M04,2008 Apr,222.3,,
PCU332996332996,2008,M05,2008 May,229.1,,
PCU332996332996,2008,M06,2008 Jun,229.7,,
PCU332996332996,2008,M07,2008 Jul,235.2,,
PCU332996332996,2008,M08,2008 Aug,239.5,,
PCU332996332996,2008,M09,2008 Sep,240.9,,
PCU332996332996,2008,M10,2008 Oct,241.2,,
PCU332996332996,2008,M11,2008 Nov,241,,
PCU332996332996,2008,M12,2008 Dec,239.5,,
PCU332996332996,2009,M01,2009 Jan,251.7,,
PCU332996332996,2009,M02,2009 Feb,247,,
PCU332996332996,2009,M03,2009 Mar,246.4,,
PCU332996332996,2009,M04,2009 Apr,241.4,,
PCU332996332996,2009,M05,2009 May,235.2,,
PCU332996332996,2009,M06,2009 Jun,235.9,,
PCU332996332996,2009,M07,2009 Jul,236.6,,
PCU332996332996,2009,M08,2009 Aug,236.9,,
PCU332996332996,2009,M09,2009 Sep,238.1,,
PCU332996332996,2009,M10,2009 Oct,245.7,,
PCU332996332996,2009,M11,2009 Nov,247.7,,
PCU332996332996,2009,M12,2009 Dec,247.7,,
PCU332996332996,2010,M01,2010 Jan,256.3,,
PCU332996332996,2010,M02,2010 Feb,256.3,,
PCU332996332996,2010,M03,2010 Mar,267.9,,
PCU332996332996,2010,M04,2010 Apr,274.6,,
PCU332996332996,2010,M05,2010 May,280.1,,
PCU332996332996,2010,M06,2010 Jun,276.7,,
PCU332996332996,2010,M07,2010 Jul,270.7,,
PCU332996332996,2010,M08,2010 Aug,270.9,,
PCU332996332996,2010,M09,2010 Sep,266.3,,
PCU332996332996,2010,M10,2010 Oct,269,,
PCU332996332996,2010,M11,2010 Nov,267.7,,
PCU332996332996,2010,M12,2010 Dec,267.4,,
PCU332996332996,2011,M01,2011 Jan,271.1,,
PCU332996332996,2011,M02,2011 Feb,275.5,,
PCU332996332996,2011,M03,2011 Mar,278.8,,
PCU332996332996,2011,M04,2011 Apr,284.4,,
PCU332996332996,2011,M05,2011 May,285.4,,
PCU332996332996,2011,M06,2011 Jun,288,,
PCU332996332996,2011,M07,2011 Jul,287.4,,
PCU332996332996,2011,M08,2011 Aug,289.2,,
PCU332996332996,2011,M09,2011 Sep,289.2,,
PCU332996332996,2011,M10,2011 Oct,290.3,,
PCU332996332996,2011,M11,2011 Nov,296.8,,
PCU332996332996,2011,M12,2011 Dec,297.2,,
PCU332996332996,2012,M01,2012 Jan,295.6,,
PCU332996332996,2012,M02,2012 Feb,294.6,,
PCU332996332996,2012,M03,2012 Mar,295,,
PCU332996332996,2012,M04,2012 Apr,295.3,,
PCU332996332996,2012,M05,2012 May,296.8,,
PCU332996332996,2012,M06,2012 Jun,299.6,,
PCU332996332996,2012,M07,2012 Jul,299.7,,
PCU332996332996,2012,M08,2012 Aug,298,,
PCU332996332996,2012,M09,2012 Sep,298.5,,
PCU332996332996,2012,M10,2012 Oct,298.1,,
PCU332996332996,2012,M11,2012 Nov,297.7,,
PCU332996332996,2012,M12,2012 Dec,297.8,,
PCU332996332996,2013,M01,2013 Jan,301.4,,
PCU332996332996,2013,M02,2013 Feb,300.3,,
PCU332996332996,2013,M03,2013 Mar,300.8,,
PCU332996332996,2013,M04,2013 Apr,299.5,,
PCU332996332996,2013,M05,2013 May,300.8,,
PCU332996332996,2013,M06,2013 Jun,300.5,,
PCU332996332996,2013,M07,2013 Jul,299.6,,
PCU332996332996,2013,M08,2013 Aug,300.5,,
PCU332996332996,2013,M09,2013 Sep,299.9,,
PCU332996332996,2013,M10,2013 Oct,299.3,,
PCU332996332996,2013,M11,2013 Nov,301.4,,
PCU332996332996,2013,M12,2013 Dec,301.9,,
PCU332996332996,2014,M01,2014 Jan,303.1,,
PCU332996332996,2014,M02,2014 Feb,307.6,,
PCU332996332996,2014,M03,2014 Mar,306.8,,
PCU332996332996,2014,M04,2014 Apr,306.7,,
PCU332996332996,2014,M05,2014 May,307.6,,
PCU332996332996,2014,M06,2014 Jun,306.6,,
PCU332996332996,2014,M07,2014 Jul,308.2,,
PCU332996332996,2014,M08,2014 Aug,303.1,,
PCU332996332996,2014,M09,2014 Sep,303.4,,
PCU332996332996,2014,M10,2014 Oct,303.2,,
PCU332996332996,2014,M11,2014 Nov,303.2,,
PCU332996332996,2014,M12,2014 Dec,304.8,,
PCU332996332996,2015,M01,2015 Jan,305.3,,
PCU332996332996,2015,M02,2015 Feb,305.1,,
PCU332996332996,2015,M03,2015 Mar,304.2,,
PCU332996332996,2015,M04,2015 Apr,305.9,,
PCU332996332996,2015,M05,2015 May,305.8,,
PCU332996332996,2015,M06,2015 Jun,304.9,,
PCU332996332996,2015,M07,2015 Jul,305,,
PCU332996332996,2015,M08,2015 Aug,305.5,,
PCU332996332996,2015,M09,2015 Sep,306.2,,
PCU332996332996,2015,M10,2015 Oct,306.5,,
PCU332996332996,2015,M11,2015 Nov,306.7,,
PCU332996332996,2015,M12,2015 Dec,305.6,,
PCU332996332996,2016,M01,2016 Jan,305.5,,
PCU332996332996,2016,M02,2016 Feb,306.8,,
PCU332996332996,2016,M03,2016 Mar,304,,
PCU332996332996,2016,M04,2016 Apr,303.1,,
PCU332996332996,2016,M05,2016 May,302.1,,
PCU332996332996,2016,M06,2016 Jun,302.5,,
PCU332996332996,2016,M07,2016 Jul,303.2,,
PCU332996332996,2016,M08,2016 Aug,301.8,,
PCU332996332996,2016,M09,2016 Sep,301.2,,
PCU332996332996,2016,M10,2016 Oct,300.4,,
PCU332996332996,2016,M11,2016 Nov,300.4,,
PCU332996332996,2016,M12,2016 Dec,301,,
PCU332996332996,2017,M01,2017 Jan,301,,
PCU332996332996,2017,M02,2017 Feb,303.2,,
PCU332996332996,2017,M03,2017 Mar,305.2,,
PCU332996332996,2017,M04,2017 Apr,304.9,,
PCU332996332996,2017,M05,2017 May,304.9,,
PCU332996332996,2017,M06,2017 Jun,305.3,,
PCU332996332996,2017,M07,2017 Jul,304.6,,
PCU332996332996,2017,M08,2017 Aug,305.6,,
PCU332996332996,2017,M09,2017 Sep,305.8,,
PCU332996332996,2017,M10,2017 Oct,305.8,,
PCU332996332996,2017,M11,2017 Nov,306.3,,
PCU332996332996,2017,M12,2017 Dec,308.4,,
PCU332996332996,2018,M01,2018 Jan,312.8,,
PCU332996332996,2018,M02,2018 Feb,310.5,,
PCU332996332996,2018,M03,2018 Mar,312.3,,
PCU332996332996,2018,M04,2018 Apr,316.1,,
PCU332996332996,2018,M05,2018 May,319.4,,
PCU332996332996,2018,M06,2018 Jun,317.7,,
PCU332996332996,2018,M07,2018 Jul,318.5,,
PCU332996332996,2018,M08,2018 Aug,318.1,,
PCU332996332996,2018,M09,2018 Sep,318.4,,
PCU332996332996,2018,M10,2018 Oct,320.1,,
PCU332996332996,2018,M11,2018 Nov,321.8,,
PCU332996332996,2018,M12,2018 Dec,322.4,,
PCU332996332996,2019,M01,2019 Jan,320.9,,
PCU332996332996,2019,M02,2019 Feb,322.8,,
PCU332996332996,2019,M03,2019 Mar,322.5,,
PCU332996332996,2019,M04,2019 Apr,322.2,,
PCU332996332996,2019,M05,2019 May,323.3,,
PCU332996332996,2019,M06,2019 Jun,322,,
PCU332996332996,2019,M07,2019 Jul,324.3,,
PCU332996332996,2019,M08,2019 Aug,319.5,,
PCU332996332996,2019,M09,2019 Sep,320.3,,
PCU332996332996,2019,M10,2019 Oct,321.5,,
PCU332996332996,2019,M11,2019 Nov,321.2,,
PCU332996332996,2019,M12,2019 Dec,318.8,,
