W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
699.961075257964,156.586220077322,0,176.414104417072,0,6000,6000,5,30.1677725957654,1.91672880082513,109604258.975903,123483006.218444,1
821.855532306777,142.765277066967,0,159.652365730332,0,6000,6000,6,35.3701485102392,2.2576546930683,117332432.778797,131211180.021338,1
947.322782098656,132.063285460004,0,146.713779995558,0,6000,6000,7,41.9914172818169,2.6826327897678,125106558.99506,138985306.237602,1
1061.80173117789,125.070054564491,0,138.140995056503,0,6000,6000,8,48.7467027255313,3.11564000534751,132799600.45509,146678347.697632,1
1161.98229161547,120.813641305503,0,132.757667770181,0,6000,6000,9,54.9375513687818,3.5130773264568,140383311.782578,154262059.025119,1
1251.37143676489,118.189418064859,0,129.280247561832,0,6000,6000,10,60.9649457721481,3.90013110429745,147898861.894228,161777609.13677,1
1330.48365952553,116.765942435564,0,127.197297336601,0,6000,6000,11,66.8505493348534,4.27811349908927,155355178.399616,169233925.642158,1
1399.69479686226,116.281881952539,0,126.197434452737,0,6000,6000,12,72.614064790694,4.6481432475364,162759145.138321,176637892.380862,1
1459.25571841053,116.576667308335,0,126.087507024391,0,6000,6000,13,78.2635943947555,5.01063128375398,170115168.402929,183993915.64547,1
1509.92634700404,117.504011114514,0,126.695682794447,0,6000,6000,14,83.8059267339859,5.35353070342973,177422402.26046,191301149.503001,1
1550.8246234723,119.092766352128,0,128.04203568438,0,6000,6000,15,89.2520789444166,5.70112182354254,184691994.536314,198570741.778855,1
