W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr
327.895571,313.4610371,Inf,352.9292384,Inf,6000,10000,1,17.1598139,0.266630251,102782485.8,115723934.1
496.1909559,249.7934104,Inf,275.874999,Inf,6000,10000,2,19.8766549,0.313239954,123945231.1,136886679.5
851.5600791,173.4082344,Inf,188.6055747,Inf,6000,10000,3,34.18315319,0.543872732,147667529.8,160608978.2
1162.773227,146.8642429,Inf,157.9940557,Inf,6000,10000,4,48.42681194,0.772412206,170769809.7,183711258
1437.922773,134.4770901,Inf,143.4771898,Inf,6000,10000,5,61.5738237,0.982800093,193367670.3,206309118.7
1689.970515,127.6290441,Inf,135.2868395,Inf,6000,10000,6,74.27589706,1.185980342,215689321.4,228630769.8
1921.85076,123.7376713,Inf,130.471518,Inf,6000,10000,7,86.65274052,1.383850759,237805337.5,250746785.9
2133.759251,121.7197628,Inf,127.7848558,Inf,6000,10000,8,98.53789863,1.572954369,259720669.9,272662118.3
2327.490391,120.9381661,Inf,126.4984247,Inf,6000,10000,9,110.1229109,1.756866169,281482419.5,294423867.9
2503.583587,121.0690316,Inf,126.2382013,Inf,6000,10000,10,121.423149,1.935777751,303106440.4,316047888.8
2663.620257,121.8826545,Inf,126.7412481,Inf,6000,10000,11,132.732416,2.115346418,324649107.6,337590556
2805.699173,123.3326362,Inf,127.9451936,Inf,6000,10000,12,143.516107,2.285000142,346034275.4,358975723.8
2931.312984,125.3055501,Inf,129.7204482,Inf,6000,10000,13,154.0429956,2.449900025,367309785.8,380251234.2
3041.764752,127.7383376,Inf,131.9929232,Inf,6000,10000,14,164.1454381,2.60772132,388549972.8,401491421.2
3135.572278,130.6398577,Inf,134.767158,Inf,6000,10000,15,174.1728331,2.76313421,409630716.3,422572164.7
