W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
964.095680974429,283.611701092988,0,298.007312977189,0,6000,8000,5,41.2454647262464,2.63622058116589,273428816.097561,287307563.340102,22538732.8008549,250890083.296706,264768830.539248,1
1138.10291939907,275.799312701008,0,287.993945546577,0,6000,8000,6,50.2046139235293,3.21321990581853,313888002.953274,327766750.195816,25075185.9161686,288812817.037106,302691564.279647,1
1294.73210599396,273.582871682418,0,284.302268520027,0,6000,8000,7,58.8745902722403,3.77290904333178,354216527.617253,368095274.859794,27480976.8397475,326735550.777505,340614298.020047,1
1435.62752980979,274.754281351222,0,284.421654645728,0,6000,8000,8,67.3330101910836,4.3204537166065,394444810.240917,408323557.483459,29786525.7230127,364658284.517905,378537031.760446,1
1561.58596529589,278.30112667153,0,287.188723993084,0,6000,8000,9,75.6287567526741,4.85901948255174,434591133.536294,448469880.778836,32010115.2779898,402581018.258304,416459765.500846,1
1673.5552673498,283.624218557872,0,291.91719071918,0,6000,8000,10,83.7818290013961,5.37756561140491,474660804.915499,488539552.158041,34157052.9167953,440503751.998704,454382499.241245,1
1769.67698970643,290.807212076841,0,298.649743410677,0,6000,8000,11,91.039512145615,5.85214684394603,514634831.653062,528513578.895604,36208345.9139586,478426485.739103,492305232.981645,1
1853.1974428272,299.258163287679,0,306.747245088573,0,6000,8000,12,98.8740794015615,6.36420602511147,554584462.94989,568463210.192431,38235243.4703869,516349219.479503,530227966.722044,1
1922.93063537092,309.157538515838,0,316.375036114166,0,6000,8000,13,106.668867588131,6.87470630642067,594488501.967969,608367249.21051,40216548.7480666,554271953.219902,568150700.462444,1
1981.43666972969,320.102305737367,0,327.106691723842,0,6000,8000,14,111.240801370773,7.19287720482418,634262446.653043,648141193.895584,42067759.6927407,592194686.960302,606073434.202844,1
2026.41841262857,332.621840742497,0,339.470745764308,0,6000,8000,15,118.302444311002,7.65432120907284,674031022.523005,687909769.765546,43913601.8223033,630117420.700701,643996167.943243,1
