dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
20107.6746234743,16.0394903970205,16.7297117927029,0,6000,7000,7,160.867981716135,7.94927668213688,322516854.029629,336395601.27217,38755140.1807966,283761713.848832,297640461.091374,1
14103.1777187489,21.4236875494859,22.4077740808562,0.111111111111111,6000,7000,7,64.8630806257708,4.06746317627444,302142072.901348,316020820.14389,18380359.0525158,283761713.848832,297640461.091374,1
14391.3679963033,21.1599739703443,22.1243539546589,0.222222222222222,6000,7000,7,70.8291006850223,4.53874427350799,304520972.199423,318399719.441964,20759258.3505904,283761713.848832,297640461.091374,1
12555.9789150088,24.3705565326981,25.47590621005,0.333333333333333,6000,7000,7,70.8301219144143,4.53880318325863,305996193.971588,319874941.21413,22234480.122756,283761713.848832,297640461.091374,1
10714.7341039406,28.674957864353,29.9702533992592,0.444444444444444,6000,7000,7,70.8310892036316,4.53885898130299,307244548.958242,321123296.200784,23482835.1094096,283761713.848832,297640461.091374,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
