dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
26157.4714415575,16.3318605412031,16.8624449776059,0,6000,7000,10,197.11883069895,10.094355351112,427200175.69402,441078922.936562,48087619.307706,379112556.386314,392991303.628856,1
17813.8315571248,22.5420155469953,23.3211150460579,0.111111111111111,6000,7000,10,94.0888849660414,5.93701774564755,401559667.912263,415438415.154805,22447111.5259492,379112556.386314,392991303.628856,1
20146.4579392699,20.0918243364713,20.7807170085419,0.222222222222222,6000,7000,10,101.789642118945,6.56692277132723,404779093.917918,418657841.16046,25666537.531604,379112556.386314,392991303.628856,1
17562.7815181247,23.1477285221527,23.9379648083707,0.333333333333333,6000,7000,10,101.789895051023,6.56693750361499,406538498.675432,420417245.917974,27425942.2891179,379112556.386314,392991303.628856,1
14981.192393147,27.2420052156087,28.1684166038564,0.444444444444444,6000,7000,10,101.790161924822,6.56695304794792,408117721.310147,421996468.552689,29005164.9238332,379112556.386314,392991303.628856,1
12399.4981211995,33.0366489272223,34.1559480397253,0.555555555555556,6000,7000,10,101.790422408846,6.56696822009614,409637866.30382,423516613.546362,30525309.9175059,379112556.386314,392991303.628856,1
9818.46898868387,41.8736343279348,43.2871690917088,0.666666666666667,6000,7000,10,101.790652199001,6.5669816044461,411134980.092316,425013727.334857,32022423.7060015,379112556.386314,392991303.628856,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
